Date,jd,Body,EclType,Mag
-1104-May-02,1317954.00,L,T,2.17
-1104-May-18,1317970.00,S,p,0.27
-1102-Mar-13,1318634.00,L,N,0.18
-1102-Apr-12,1318664.00,L,N,0.78
-1102-Sep-21,1318826.00,S,p,0.43
-1101-Mar-03,1318990.00,L,P,1.46
-1100-Aug-15,1319520.00,L,T,2.60
-1099-Aug-04,1319874.00,L,P,1.74
-1099-Dec-30,1320022.00,L,N,0.20
-1098-Jan-14,1320036.00,S,p,0.40
-1098-Jul-25,1320228.00,L,N,0.30
-1098-Dec-19,1320376.00,L,P,1.50
-1097-Jun-14,1320552.00,L,P,1.73
-1097-Dec-09,1320730.00,L,T,2.72
-1096-Jun-02,1320906.00,L,T,2.62
-1096-Nov-27,1321084.00,L,P,1.72
-1095-May-09,1321248.00,S,p,0.15
-1095-May-23,1321262.00,L,P,1.20
-1095-Nov-17,1321440.00,L,N,0.38
-1094-Oct-07,1321764.00,L,P,1.12
-1094-Oct-22,1321778.00,S,p,0.50
-1093-Apr-03,1321942.00,L,T,2.50
-1092-Mar-22,1322296.00,L,P,1.79
-1092-Sep-14,1322472.00,L,P,1.98
-1091-Feb-10,1322620.00,L,N,0.05
-1091-Mar-11,1322650.00,L,N,0.37
-1091-Aug-06,1322798.00,L,N,0.21
-1090-Jan-30,1322974.00,L,P,1.36
-1090-Jul-26,1323152.00,L,P,1.47
-1089-Jul-16,1323506.00,L,T,2.86
-1089-Dec-25,1323668.00,S,p,0.82
-1088-Jan-08,1323682.00,L,P,1.74
-1088-Jul-04,1323860.00,L,P,1.50
-1088-Nov-29,1324008.00,L,N,0.23
-1088-Dec-28,1324038.00,L,N,0.53
-1087-May-24,1324184.00,L,N,0.55
-1087-Nov-18,1324362.00,L,P,1.40
-1086-May-14,1324540.00,L,T,2.02
-1086-Nov-07,1324716.00,L,T,2.66
-1085-May-03,1324894.00,L,T,2.26
-1085-Oct-27,1325070.00,L,P,1.91
-1084-Mar-24,1325220.00,L,N,0.07
-1084-Oct-15,1325424.00,L,N,0.68
-1083-Mar-27,1325588.00,S,p,0.28
-1083-Sep-05,1325750.00,L,P,1.25
-1082-Mar-02,1325928.00,L,T,2.71
-1081-Feb-19,1326282.00,L,P,1.76
-1081-Jul-31,1326444.00,S,p,0.41
-1081-Aug-16,1326460.00,L,P,1.83
-1080-Feb-08,1326636.00,L,N,0.48
-1080-Jul-05,1326784.00,L,N,0.23
-1080-Dec-29,1326960.00,L,P,1.49
-1079-Jun-24,1327138.00,L,P,1.57
-1079-Dec-19,1327316.00,L,T,2.71
-1078-Jun-14,1327492.00,L,T,2.77
-1078-Dec-09,1327670.00,L,P,1.71
-1077-May-20,1327832.00,S,p,0.39
-1076-Apr-23,1328172.00,L,P,1.04
-1076-May-08,1328186.00,S,p,0.10
-1076-May-23,1328202.00,L,N,0.06
-1075-Oct-06,1328702.00,L,T,2.41
-1074-Mar-18,1328866.00,S,p,0.10
-1074-Apr-02,1328880.00,L,P,1.91
-1074-Sep-26,1329058.00,L,T,2.02
-1073-Mar-23,1329236.00,L,N,0.48
-1073-Sep-15,1329412.00,L,N,0.79
-1072-Aug-06,1329738.00,L,P,1.37
-1071-Jan-29,1329914.00,L,T,2.66
-1070-Jan-19,1330268.00,L,P,1.77
-1069-Jan-09,1330624.00,L,N,0.55
-1069-Jun-04,1330770.00,L,N,0.41
-1069-Jun-20,1330786.00,S,p,0.96
-1069-Nov-29,1330948.00,L,P,1.39
-1068-Nov-18,1331302.00,L,T,2.65
-1067-May-14,1331480.00,L,T,2.40
-1067-Oct-23,1331642.00,S,p,0.56
-1067-Nov-07,1331656.00,L,P,1.92
-1066-Apr-18,1331818.00,S,p,0.17
-1066-May-03,1331834.00,L,P,1.03
-1066-Oct-27,1332010.00,L,N,0.70
-1065-Mar-24,1332158.00,L,P,1.24
-1065-Sep-17,1332336.00,L,P,1.20
-1064-Mar-12,1332512.00,L,T,2.60
-1064-Sep-05,1332690.00,L,T,2.47
-1063-Mar-01,1332866.00,L,P,1.85
-1062-Jan-20,1333192.00,L,N,0.16
-1062-Feb-19,1333222.00,L,N,0.55
-1062-Jul-31,1333384.00,S,p,0.73
-1062-Aug-15,1333398.00,L,N,0.49
-1061-Jan-10,1333546.00,L,P,1.47
-1061-Jan-25,1333562.00,S,p,0.83
-1061-Jul-06,1333724.00,L,P,1.43
-1061-Dec-30,1333900.00,L,T,2.70
-1059-Jun-13,1334432.00,L,P,1.49
-1059-Dec-08,1334610.00,L,N,0.38
-1058-May-05,1334758.00,L,N,0.91
-1058-Oct-28,1334934.00,L,N,1.09
-1057-Apr-24,1335112.00,L,T,2.25
-1057-Oct-18,1335288.00,L,T,2.39
-1056-Apr-13,1335466.00,L,T,2.03
-1055-Mar-18,1335806.00,S,p,0.48
-1055-Aug-27,1335968.00,L,N,0.06
-1055-Sep-11,1335982.00,S,p,0.08
-1055-Sep-26,1335998.00,L,N,0.83
-1054-Feb-20,1336144.00,L,P,1.22
-1054-Aug-31,1336336.00,S,p,0.43
-1053-Feb-10,1336500.00,L,T,2.60
-1053-Aug-06,1336676.00,L,T,2.64
-1052-Jan-30,1336854.00,L,P,1.80
-1052-Jul-25,1337030.00,L,P,1.77
-1052-Dec-20,1337178.00,L,N,0.21
-1051-Jul-14,1337384.00,L,N,0.44
-1050-Jun-04,1337710.00,L,P,1.75
-1048-May-14,1338420.00,L,P,1.16
-1047-Apr-04,1338744.00,L,P,1.10
-1046-Mar-24,1339098.00,L,T,2.47
-1046-Sep-17,1339276.00,L,T,2.42
-1045-Mar-13,1339452.00,L,P,1.95
-1045-Sep-06,1339630.00,L,P,1.97
-1044-Feb-01,1339778.00,L,N,0.13
-1044-Feb-16,1339792.00,S,p,0.62
-1044-Aug-26,1339984.00,L,N,0.57
-1043-Jan-20,1340132.00,L,P,1.44
-1043-Jul-31,1340324.00,S,p,0.02
-1042-Jan-10,1340486.00,L,T,2.68
-1042-Jul-05,1340662.00,L,T,2.69
-1042-Dec-30,1340840.00,L,P,1.72
-1041-Jun-25,1341018.00,L,P,1.63
-1041-Dec-20,1341196.00,L,N,0.39
-1040-Jun-13,1341372.00,L,N,0.32
-1040-Nov-08,1341520.00,L,N,1.08
-1040-Nov-23,1341534.00,S,p,0.68
-1039-May-05,1341698.00,L,T,2.11
-1038-Oct-17,1342228.00,L,T,2.07
-1037-Apr-13,1342406.00,L,N,0.74
-1036-Mar-03,1342730.00,L,P,1.14
-1036-Aug-27,1342908.00,L,P,1.20
-1036-Sep-10,1342922.00,S,p,0.44
-1035-Aug-16,1343262.00,L,T,2.54
-1034-Jan-26,1343424.00,S,p,0.51
-1034-Feb-10,1343440.00,L,P,1.86
-1034-Aug-05,1343616.00,L,P,1.89
-1033-Jan-15,1343778.00,S,p,0.07
-1033-Jan-30,1343794.00,L,N,0.61
-1033-Jul-26,1343970.00,L,N,0.57
-1033-Dec-21,1344118.00,L,P,1.38
-1032-Jun-15,1344296.00,L,P,1.61
-1032-Dec-09,1344472.00,L,T,2.64
-1031-Jun-04,1344650.00,L,T,2.67
-1031-Nov-14,1344812.00,S,p,0.14
-1031-Nov-28,1344826.00,L,P,1.93
-1030-Nov-17,1345180.00,L,N,0.72
-1029-Apr-29,1345344.00,S,p,0.93
-1029-Oct-08,1345506.00,L,P,1.15
-1027-Sep-01,1346200.00,S,p,0.22
-1027-Sep-17,1346216.00,L,T,2.02
-1026-Mar-12,1346392.00,L,N,0.73
-1025-Jan-31,1346716.00,L,P,1.39
-1025-Jul-27,1346894.00,L,P,1.17
-1024-Jan-21,1347072.00,L,T,2.65
-1024-Jul-15,1347248.00,L,T,2.57
-1023-Jan-10,1347426.00,L,P,1.74
-1023-Jun-21,1347588.00,S,p,0.24
-1022-May-26,1347928.00,L,N,0.64
-1022-Jun-10,1347942.00,S,p,0.57
-1022-Jun-25,1347958.00,L,N,0.45
-1022-Nov-19,1348104.00,L,N,1.08
-1021-Nov-08,1348458.00,L,T,2.38
-1020-May-04,1348636.00,L,T,2.31
-1020-Oct-28,1348814.00,L,T,2.08
-1019-Apr-23,1348990.00,L,N,0.88
-1019-Oct-17,1349168.00,L,N,0.87
-1018-Sep-07,1349492.00,L,P,1.14
-1017-Mar-03,1349670.00,L,T,2.45
-1017-Aug-28,1349848.00,L,T,2.46
-1015-Jan-11,1350350.00,L,N,0.17
-1015-Feb-10,1350380.00,L,N,0.65
-1015-Jul-06,1350526.00,L,N,0.02
-1015-Jul-22,1350542.00,S,p,0.41
-1014-Jan-01,1350704.00,L,P,1.36
-1014-Dec-21,1351058.00,L,T,2.63
-1013-Jun-16,1351236.00,L,T,2.81
-1013-Dec-10,1351412.00,L,P,1.94
-1012-Jun-04,1351590.00,L,P,1.43
-1012-Nov-14,1351752.00,S,p,0.37
-1012-Nov-28,1351766.00,L,N,0.72
-1011-Apr-25,1351914.00,L,N,0.82
-1011-Oct-19,1352092.00,L,P,1.13
-1010-Apr-14,1352268.00,L,T,2.19
-1010-Apr-29,1352284.00,S,p,0.03
-1010-Oct-08,1352446.00,L,T,2.36
-1009-Apr-03,1352622.00,L,T,2.19
-1008-Feb-22,1352948.00,L,N,0.02
-1008-Mar-23,1352978.00,L,N,0.84
-1008-Sep-01,1353140.00,S,p,0.51
-1008-Sep-16,1353154.00,L,N,0.69
-1007-Feb-26,1353318.00,S,p,0.56
-1007-Aug-07,1353480.00,L,N,1.05
-1006-Feb-01,1353658.00,L,T,2.61
-1006-Feb-15,1353672.00,S,p,0.17
-1006-Jul-27,1353834.00,L,T,2.45
-1005-Jul-02,1354174.00,S,p,0.38
-1005-Jul-16,1354188.00,L,P,1.88
-1004-Jan-10,1354366.00,L,N,0.42
-1004-Jun-06,1354514.00,L,N,0.51
-1004-Jun-20,1354528.00,S,p,0.18
-1004-Nov-29,1354690.00,L,N,1.08
-1003-May-26,1354868.00,L,P,1.83
-1003-Nov-19,1355044.00,L,T,2.38
-1002-May-16,1355222.00,L,T,2.46
-1002-Nov-08,1355398.00,L,T,2.08
-1001-Apr-20,1355562.00,S,t,1.08
-1001-May-05,1355576.00,L,N,1.03
-1001-Oct-29,1355754.00,L,N,0.88
-1000-Mar-24,1355900.00,L,N,0.93
-1000-Oct-02,1356092.00,S,p,0.64
-999-Mar-14,1356254.00,L,T,2.36
-998-Mar-03,1356608.00,L,T,1.99
-997-Jan-23,1356934.00,L,N,0.13
-997-Aug-16,1357140.00,L,N,0.78
-996-Jul-06,1357464.00,L,P,1.36
-994-Jun-16,1358174.00,L,P,1.57
-994-Dec-09,1358350.00,L,N,0.73
-993-May-07,1358500.00,L,N,0.67
-992-Apr-25,1358854.00,L,P,2.04
-992-Oct-19,1359030.00,L,T,2.34
-991-Apr-14,1359208.00,L,T,2.33
-991-Oct-08,1359384.00,L,T,2.09
-990-Mar-20,1359548.00,S,p,0.36
-990-Sep-28,1359740.00,L,N,0.73
-989-Feb-22,1359886.00,L,P,1.27
-989-Sep-02,1360078.00,S,p,0.19
-987-Jan-31,1360596.00,L,P,1.81
-987-Jul-26,1360772.00,L,T,1.99
-986-Jan-21,1360950.00,L,N,0.45
-986-Jul-16,1361126.00,L,N,0.69
-986-Dec-11,1361274.00,L,N,1.07
-986-Dec-26,1361290.00,S,p,0.94
-985-Jun-06,1361452.00,L,P,1.69
-984-Nov-18,1361982.00,L,T,2.08
-983-Nov-08,1362338.00,L,N,0.88
-982-Apr-05,1362486.00,L,N,0.81
-982-Sep-29,1362662.00,L,P,1.05
-981-Sep-18,1363016.00,L,T,2.33
-980-Feb-28,1363180.00,S,p,0.33
-980-Mar-14,1363194.00,L,T,2.08
-980-Sep-06,1363370.00,L,T,2.17
-979-Feb-16,1363534.00,S,p,0.37
-979-Mar-03,1363548.00,L,N,0.78
-979-Aug-26,1363724.00,L,N,0.87
-978-Jan-22,1363874.00,L,P,1.29
-978-Jul-17,1364050.00,L,P,1.25
-978-Aug-02,1364066.00,S,p,0.45
-977-Jan-11,1364228.00,L,T,2.58
-977-Jul-07,1364404.00,L,T,2.60
-977-Dec-17,1364568.00,S,p,0.87
-977-Dec-31,1364582.00,L,P,1.97
-976-Dec-19,1364936.00,L,N,0.74
-975-May-31,1365098.00,S,p,0.31
-975-Jun-15,1365114.00,L,N,0.22
-975-Nov-09,1365260.00,L,P,1.12
-974-Oct-30,1365616.00,L,T,2.33
-973-Oct-04,1365954.00,S,p,0.41
-973-Oct-20,1365970.00,L,T,2.10
-972-Apr-13,1366146.00,L,P,1.08
-971-Mar-05,1366472.00,L,P,1.19
-971-Aug-28,1366648.00,L,N,0.87
-970-Feb-22,1366826.00,L,T,2.48
-970-Aug-17,1367002.00,L,T,2.25
-969-Feb-12,1367182.00,L,P,1.86
-968-Jul-12,1367698.00,S,p,0.14
-968-Jul-26,1367712.00,L,N,0.80
-968-Dec-21,1367860.00,L,N,1.06
-967-Dec-10,1368214.00,L,T,2.38
-967-Dec-26,1368230.00,S,p,0.16
-966-Jun-06,1368392.00,L,T,2.77
-965-May-26,1368746.00,L,P,1.35
-965-Nov-20,1368924.00,L,N,0.88
-964-Oct-10,1369248.00,L,N,1.02
-963-Apr-04,1369424.00,L,T,2.14
-963-Sep-29,1369602.00,L,T,2.29
-963-Oct-13,1369616.00,S,p,0.21
-962-Sep-18,1369956.00,L,T,2.23
-961-Feb-13,1370104.00,L,N,0.02
-961-Mar-15,1370134.00,L,N,0.86
-961-Aug-24,1370296.00,S,p,0.17
-960-Feb-03,1370460.00,L,P,1.24
-960-Aug-12,1370650.00,S,p,0.83
-959-Jan-22,1370814.00,L,T,2.54
-959-Jul-17,1370990.00,L,T,2.48
-958-Jan-11,1371168.00,L,P,2.00
-958-Jul-07,1371344.00,L,P,1.82
-958-Dec-17,1371508.00,S,p,0.65
-957-Jun-11,1371684.00,S,p,0.44
-957-Jun-27,1371700.00,L,N,0.36
-956-May-16,1372024.00,L,P,1.72
-956-May-31,1372038.00,S,p,0.55
-956-Nov-09,1372200.00,L,T,2.33
-955-May-05,1372378.00,L,T,2.62
-954-Apr-25,1372732.00,L,P,1.22
-954-Oct-04,1372894.00,S,p,0.97
-954-Oct-19,1372910.00,L,N,0.78
-953-Sep-08,1373234.00,L,N,0.81
-952-Mar-05,1373412.00,L,T,2.40
-952-Mar-19,1373426.00,S,p,0.29
-952-Aug-28,1373588.00,L,T,2.17
-951-Aug-17,1373942.00,L,T,2.18
-950-Jan-27,1374106.00,S,p,0.25
-950-Feb-11,1374120.00,L,N,0.56
-950-Jul-09,1374268.00,L,N,0.13
-950-Jul-23,1374282.00,S,p,0.81
-949-Jan-01,1374444.00,L,N,1.05
-949-Jan-17,1374460.00,S,p,0.55
-949-Dec-22,1374800.00,L,T,2.38
-948-Jun-16,1374976.00,L,T,2.83
-948-Dec-10,1375154.00,L,T,2.08
-947-May-22,1375316.00,S,p,0.52
-947-Jun-06,1375332.00,L,P,1.51
-946-May-26,1375686.00,L,N,0.16
-946-Nov-04,1375848.00,S,p,0.83
-945-Apr-16,1376010.00,L,T,2.02
-944-Apr-04,1376364.00,L,T,2.29
-943-Sep-17,1376896.00,L,N,1.00
-940-Jul-17,1377930.00,L,P,1.94
-939-Jan-10,1378106.00,L,N,0.78
-939-Jun-07,1378254.00,L,N,0.19
-939-Dec-01,1378432.00,L,P,1.12
-938-May-27,1378608.00,L,P,1.55
-938-Jun-11,1378624.00,S,p,0.32
-937-May-16,1378962.00,L,T,2.78
-937-Nov-10,1379140.00,L,T,2.12
-936-Oct-30,1379496.00,L,N,0.79
-935-Mar-26,1379642.00,L,P,1.00
-935-Apr-10,1379658.00,S,p,0.63
-935-Apr-25,1379672.00,L,N,0.07
-933-Mar-05,1380352.00,L,P,2.02
-933-Aug-28,1380528.00,L,T,2.26
-932-Feb-22,1380706.00,L,N,0.63
-932-Aug-17,1380882.00,L,P,0.98
-931-Jan-12,1381030.00,L,N,1.02
-931-Jan-27,1381046.00,S,p,0.09
-931-Jul-08,1381208.00,L,P,1.28
-930-Jan-01,1381384.00,L,T,2.36
-930-Jun-28,1381562.00,L,T,2.69
-930-Dec-22,1381740.00,L,T,2.09
-929-Jun-02,1381902.00,S,p,0.30
-929-Dec-11,1382094.00,L,N,0.88
-928-May-06,1382240.00,L,N,0.42
-928-May-22,1382256.00,S,p,0.18
-928-Oct-31,1382418.00,L,N,0.99
-927-Oct-20,1382772.00,L,T,2.24
-926-Apr-01,1382936.00,S,p,0.13
-926-Apr-15,1382950.00,L,T,2.41
-926-Oct-09,1383126.00,L,T,2.32
-925-Mar-21,1383290.00,S,p,0.57
-925-Apr-05,1383304.00,L,P,1.06
-925-Sep-28,1383480.00,L,N,1.05
-924-Feb-24,1383630.00,L,P,1.09
-924-Aug-18,1383806.00,L,P,0.98
-924-Sep-03,1383822.00,S,p,0.43
-923-Feb-12,1383984.00,L,T,2.41
-923-Aug-08,1384160.00,L,T,2.28
-922-Jan-18,1384324.00,S,p,0.21
-922-Feb-01,1384338.00,L,T,2.09
-921-Jan-22,1384692.00,L,N,0.81
-921-Jun-19,1384840.00,L,N,0.04
-921-Jul-18,1384870.00,L,N,0.61
-921-Dec-13,1385018.00,L,P,1.12
-920-Jun-07,1385194.00,L,P,1.39
-920-Dec-01,1385372.00,L,T,2.33
-919-May-27,1385548.00,L,T,2.82
-919-Nov-05,1385710.00,S,p,0.47
-919-Nov-21,1385726.00,L,T,2.12
-918-May-16,1385902.00,L,P,1.50
-917-Apr-07,1386228.00,L,N,0.88
-917-Sep-30,1386404.00,L,N,0.71
-916-Mar-26,1386582.00,L,T,2.20
-916-Sep-18,1386758.00,L,T,2.06
-915-Mar-16,1386938.00,L,T,2.12
-914-Aug-28,1387468.00,L,P,1.05
-913-Jan-23,1387616.00,L,N,0.98
-913-Jul-20,1387794.00,L,P,1.16
-912-Jan-12,1387970.00,L,T,2.34
-911-Dec-22,1388680.00,L,N,0.88
-910-May-18,1388826.00,L,N,0.28
-910-Jun-02,1388842.00,S,p,0.32
-910-Jun-16,1388856.00,L,N,0.47
-910-Nov-12,1389004.00,L,N,0.99
-909-May-07,1389180.00,L,P,1.76
-909-Nov-01,1389358.00,L,T,2.22
-909-Nov-15,1389372.00,S,p,0.40
-908-Oct-20,1389712.00,L,T,2.34
-907-Apr-16,1389890.00,L,P,1.17
-907-Sep-25,1390052.00,S,p,0.04
-906-Mar-07,1390216.00,L,N,1.00
-906-Sep-14,1390406.00,S,p,0.56
-905-Feb-24,1390570.00,L,T,2.32
-905-Aug-19,1390746.00,L,T,2.20
-905-Sep-03,1390760.00,S,p,0.09
-904-Feb-13,1390924.00,L,T,2.15
-903-Jan-18,1391264.00,S,p,0.19
-903-Jul-28,1391454.00,L,N,0.72
-902-Jul-03,1391794.00,S,p,0.93
-902-Dec-13,1391958.00,L,T,2.33
-901-Dec-02,1392312.00,L,T,2.12
-900-May-26,1392486.00,L,P,1.64
-900-Nov-05,1392650.00,S,p,0.21
-900-Nov-20,1392664.00,L,N,0.80
-899-Oct-10,1392988.00,L,N,0.68
-898-Apr-06,1393166.00,L,T,2.08
-898-Sep-30,1393344.00,L,P,2.02
-897-Sep-19,1393698.00,L,T,2.37
-896-Aug-24,1394038.00,S,p,0.16
-895-Feb-02,1394200.00,L,N,0.94
-895-Feb-18,1394216.00,S,p,0.23
-894-Jan-23,1394554.00,L,T,2.30
-894-Jul-19,1394732.00,L,T,2.42
-893-Jan-12,1394908.00,L,T,2.12
-893-Jun-24,1395072.00,S,p,0.01
-893-Jul-08,1395086.00,L,P,1.98
-892-Jun-26,1395440.00,L,N,0.62
-892-Dec-06,1395602.00,S,p,0.25
-891-May-17,1395764.00,L,P,1.62
-891-Nov-11,1395942.00,L,T,2.22
-890-May-07,1396120.00,L,T,2.67
-889-Oct-20,1396650.00,L,P,1.11
-888-Sep-09,1396976.00,L,N,0.86
-886-Feb-09,1397494.00,S,p,0.41
-886-Aug-19,1397684.00,L,T,2.24
-885-Feb-12,1397862.00,L,N,0.92
-884-Jan-03,1398186.00,L,P,1.10
-884-Jun-28,1398364.00,L,P,1.08
-884-Jul-13,1398378.00,S,p,0.89
-883-Jun-17,1398718.00,L,T,2.52
-883-Dec-12,1398896.00,L,T,2.12
-882-Dec-02,1399250.00,L,N,0.81
-881-Apr-28,1399398.00,L,N,0.64
-881-May-27,1399426.00,L,N,0.46
-880-May-01,1399766.00,S,p,0.45
-879-Apr-06,1400106.00,L,T,2.35
-879-Sep-15,1400268.00,S,p,0.23
-879-Sep-29,1400282.00,L,T,2.41
-878-Mar-26,1400460.00,L,N,0.94
-878-Sep-04,1400622.00,S,p,0.41
-878-Sep-19,1400638.00,L,P,1.17
-877-Feb-14,1400786.00,L,N,0.88
-877-Aug-10,1400962.00,L,N,0.95
-876-Feb-03,1401140.00,L,T,2.26
-876-Jul-30,1401318.00,L,T,2.29
-875-Jan-23,1401494.00,L,T,2.15
-875-Jul-04,1401656.00,S,p,0.24
-875-Jul-19,1401672.00,L,T,2.12
-874-Jan-12,1401848.00,L,N,0.91
-874-Jun-08,1401996.00,L,N,0.01
-874-Jun-24,1402012.00,S,p,0.56
-874-Jul-08,1402026.00,L,N,0.76
-874-Dec-03,1402174.00,L,N,0.98
-873-Nov-22,1402528.00,L,T,2.21
-873-Dec-07,1402542.00,S,p,0.13
-872-May-17,1402704.00,L,T,2.80
-872-Nov-10,1402882.00,L,T,2.37
-871-Apr-22,1403044.00,S,p,0.87
-871-May-07,1403060.00,L,P,1.43
-871-Oct-30,1403236.00,L,P,1.12
-870-Mar-28,1403384.00,L,N,0.77
-870-Apr-11,1403398.00,S,p,0.03
-870-Sep-20,1403560.00,L,N,0.82
-869-Mar-17,1403738.00,L,T,2.11
-869-Sep-10,1403916.00,L,T,2.07
-868-Mar-05,1404092.00,L,T,2.32
-868-Aug-30,1404270.00,L,T,2.31
-867-Feb-23,1404448.00,L,N,0.99
-866-Jan-14,1404772.00,L,P,1.08
-866-Jul-09,1404948.00,L,N,0.94
-865-Jan-03,1405126.00,L,T,2.31
-865-Jun-29,1405304.00,L,T,2.37
-865-Dec-24,1405482.00,L,T,2.12
-864-Nov-27,1405820.00,S,p,0.63
-863-May-08,1405982.00,L,N,0.50
-863-May-23,1405998.00,S,p,0.88
-863-Nov-01,1406160.00,L,N,0.65
-862-Apr-28,1406338.00,L,P,1.82
-862-Oct-21,1406514.00,L,P,1.98
-861-Apr-18,1406692.00,L,T,2.48
-860-Apr-06,1407046.00,L,N,1.07
-860-Sep-30,1407224.00,L,P,1.20
-859-Aug-21,1407548.00,L,N,0.86
-858-Feb-13,1407724.00,L,T,2.20
-856-Jan-24,1408434.00,L,N,0.93
-856-Jul-04,1408596.00,S,p,0.82
-856-Dec-14,1408760.00,L,N,0.97
-855-Dec-03,1409114.00,L,T,2.20
-854-Nov-22,1409468.00,L,T,2.37
-853-May-18,1409644.00,L,P,1.56
-852-Apr-07,1409970.00,L,N,0.64
-852-Oct-16,1410162.00,S,p,0.29
-851-Mar-27,1410324.00,L,P,1.99
-851-Sep-20,1410500.00,L,T,2.03
-851-Oct-05,1410516.00,S,p,0.33
-850-Mar-16,1410678.00,L,T,2.42
-849-Feb-20,1411018.00,S,p,0.29
-849-Aug-30,1411210.00,L,N,1.00
-848-Jul-20,1411534.00,L,N,0.81
-848-Aug-04,1411550.00,S,p,0.98
-847-Jan-14,1411712.00,L,T,2.28
-846-Jan-03,1412066.00,L,T,2.14
-846-Jun-28,1412242.00,L,T,2.06
-846-Dec-23,1412420.00,L,N,0.82
-845-Nov-12,1412744.00,L,N,0.65
-845-Nov-28,1412760.00,S,p,0.06
-844-May-08,1412922.00,L,P,1.68
-844-Nov-01,1413100.00,L,P,1.98
-843-Oct-21,1413454.00,L,T,2.45
-842-Apr-02,1413616.00,S,p,0.13
-841-Mar-07,1413956.00,L,N,0.71
-841-Mar-23,1413972.00,S,p,0.05
-841-Sep-15,1414148.00,S,p,0.18
-840-Feb-25,1414310.00,L,T,2.13
-840-Aug-20,1414488.00,L,T,2.09
-839-Feb-13,1414664.00,L,T,2.24
-839-Aug-09,1414842.00,L,T,2.37
-838-Jul-29,1415196.00,L,N,1.01
-837-Jan-08,1415358.00,S,p,0.63
-837-Jun-19,1415520.00,L,P,1.22
-837-Dec-14,1415698.00,L,T,2.19
-836-Dec-02,1416052.00,L,T,2.38
-835-Nov-21,1416406.00,L,P,1.13
-834-Apr-19,1416556.00,L,N,0.50
-834-May-18,1416584.00,L,N,0.21
-834-Oct-12,1416732.00,L,N,0.78
-833-Apr-08,1416910.00,L,P,1.85
-832-Mar-13,1417250.00,S,p,0.30
-832-Mar-27,1417264.00,L,T,2.53
-832-Sep-20,1417440.00,L,T,2.42
-831-Mar-16,1417618.00,L,P,1.16
-831-Sep-10,1417796.00,L,N,1.06
-830-Feb-04,1417942.00,L,P,1.00
-830-Aug-15,1418134.00,S,p,0.55
-829-Jul-20,1418474.00,L,T,2.11
-829-Dec-30,1418636.00,S,p,0.40
-828-Jan-14,1418652.00,L,T,2.16
-828-Jul-09,1418828.00,L,T,2.19
-827-Jan-03,1419006.00,L,N,0.84
-827-Jun-28,1419182.00,L,N,0.86
-826-May-20,1419508.00,L,P,1.54
-826-Jun-03,1419522.00,S,p,0.64
-826-Nov-12,1419684.00,L,P,1.97
-825-May-09,1419862.00,L,T,2.78
-825-Oct-18,1420024.00,S,p,0.16
-825-Nov-02,1420040.00,L,T,2.47
-824-Apr-27,1420216.00,L,P,1.36
-824-Oct-06,1420378.00,S,p,0.52
-824-Oct-21,1420394.00,L,P,1.25
-823-Mar-18,1420542.00,L,N,0.62
-823-Apr-02,1420556.00,S,p,0.44
-823-Apr-16,1420570.00,L,N,0.03
-823-Sep-11,1420718.00,L,N,0.72
-822-Mar-07,1420896.00,L,T,2.04
-822-Aug-31,1421072.00,L,P,2.00
-821-Feb-25,1421250.00,L,T,2.31
-821-Aug-06,1421412.00,S,p,0.08
-821-Aug-20,1421426.00,L,T,2.47
-820-Feb-14,1421604.00,L,P,1.02
-820-Aug-09,1421782.00,L,P,1.13
-819-Jan-04,1421930.00,L,N,0.94
-819-Jun-30,1422106.00,L,P,1.10
-819-Dec-24,1422284.00,L,T,2.18
-818-Jan-08,1422298.00,S,p,0.63
-818-Jun-19,1422460.00,L,T,2.45
-818-Dec-13,1422638.00,L,T,2.38
-817-Dec-03,1422992.00,L,P,1.14
-816-May-13,1423154.00,S,p,0.77
-816-May-29,1423170.00,L,N,0.35
-816-Oct-23,1423318.00,L,N,0.77
-815-Oct-12,1423672.00,L,P,1.97
-814-Apr-07,1423848.00,L,T,2.66
-814-Oct-02,1424026.00,L,T,2.46
-813-Mar-27,1424202.00,L,P,1.27
-812-Feb-16,1424528.00,L,N,0.94
-812-Aug-10,1424704.00,L,N,0.59
-811-Feb-04,1424882.00,L,T,2.20
-811-Jul-30,1425058.00,L,P,2.00
-811-Aug-15,1425074.00,S,p,0.00
-810-Jan-25,1425238.00,L,T,2.20
-810-Dec-30,1425576.00,S,p,0.46
-809-Jun-10,1425738.00,L,N,0.10
-809-Jun-25,1425754.00,S,p,0.04
-809-Jul-10,1425768.00,L,P,0.98
-809-Dec-04,1425916.00,L,N,0.65
-808-Jun-13,1426108.00,S,p,0.17
-808-Nov-22,1426270.00,L,P,1.98
-807-May-19,1426448.00,L,T,2.82
-806-May-08,1426802.00,L,P,1.52
-806-Nov-02,1426980.00,L,P,1.25
-805-Apr-28,1427156.00,L,N,0.17
-805-Sep-23,1427304.00,L,N,0.67
-804-Mar-17,1427480.00,L,P,1.95
-804-Apr-02,1427496.00,S,p,0.22
-802-Feb-25,1428190.00,L,P,1.08
-802-Aug-06,1428352.00,S,p,0.70
-801-Jan-16,1428516.00,L,N,0.90
-800-Jan-05,1428870.00,L,T,2.15
-800-Jun-30,1429046.00,L,T,2.32
