nid,gname,raJ2000,decJ2000,daynum,jd,iso,az,alt
N01-Ash,β Ari,28.66,20.81,0,1063623.5815798263,-1800-01-01 01:57:28.497,65.56103698791466,-36.910288526542594
N01-Ash,β Ari,28.66,20.81,1,1063624.5815798263,-1800-01-02 01:57:28.497,66.29425502531655,-36.12014277922414
N01-Ash,β Ari,28.66,20.81,2,1063625.5815798263,-1800-01-03 01:57:28.497,67.01276985758672,-35.325588789456496
N01-Ash,β Ari,28.66,20.81,3,1063626.5818303241,-1800-01-04 01:57:50.140,67.78115165238684,-34.453358016404096
N01-Ash,β Ari,28.66,20.81,4,1063627.5818303241,-1800-01-05 01:57:50.140,68.47092093696669,-33.65025647300727
N01-Ash,β Ari,28.66,20.81,5,1063628.5818303241,-1800-01-06 01:57:50.140,69.14785981319554,-32.84336937919261
N01-Ash,β Ari,28.66,20.81,6,1063629.5818303241,-1800-01-07 01:57:50.140,69.81252787263564,-32.03287834720222
N01-Ash,β Ari,28.66,20.81,7,1063630.5818303241,-1800-01-08 01:57:50.140,70.46546320748256,-31.218956071992604
N01-Ash,β Ari,28.66,20.81,8,1063631.5818303241,-1800-01-09 01:57:50.140,71.10718310176676,-30.401766819692885
N01-Ash,β Ari,28.66,20.81,9,1063632.5818303241,-1800-01-10 01:57:50.140,71.73818482379639,-29.581466945055528
N01-Ash,β Ari,28.66,20.81,10,1063633.5815798263,-1800-01-11 01:57:28.497,72.30241498011746,-28.83385254495487
N01-Ash,β Ari,28.66,20.81,11,1063634.5815798263,-1800-01-12 01:57:28.497,72.91427509002058,-28.00802435757031
N01-Ash,β Ari,28.66,20.81,12,1063635.5813293287,-1800-01-13 01:57:06.854,73.46186795138263,-27.255619161040837
N01-Ash,β Ari,28.66,20.81,13,1063636.5813293287,-1800-01-14 01:57:06.854,74.05620665691775,-26.424759700540474
N01-Ash,β Ari,28.66,20.81,14,1063637.5810788195,-1800-01-15 01:56:45.210,74.58858155090586,-25.66800063930985
N01-Ash,β Ari,28.66,20.81,15,1063638.5810788195,-1800-01-16 01:56:45.210,75.16691495313917,-24.832570048305442
N01-Ash,β Ari,28.66,20.81,16,1063639.5808283219,-1800-01-17 01:56:23.567,75.68541211368333,-24.071854118008357
N01-Ash,β Ari,28.66,20.81,17,1063640.580577824,-1800-01-18 01:56:01.924,76.1977491205188,-23.309391212503655
N01-Ash,β Ari,28.66,20.81,18,1063641.5803273264,-1800-01-19 01:55:40.281,76.70420220413587,-22.545264253472077
N01-Ash,β Ari,28.66,20.81,19,1063642.5800768172,-1800-01-20 01:55:18.637,77.20503594843365,-21.77955625451985
