nid,naks,gname,sname,hip
N01-Ash,अश्विनी,β Ari,Sheratan,HIP 8903
N02-Bha,भरणी,* 41 Ari,Bharani,HIP 13209
N03-Kri,क्रित्तिकाः,η Tau,Alcyone,HIP 17702
N04-Roh,रोहिणी,α Tau,Aldebaran,HIP  21421
N05-Mrg,मृगशीर्षः,λ Ori,Meissa(Heka),HIP  26207
N06-Ard,आर्द्रा,γ Gem,Alhena(Almeisan),HIP 31681
N07-Pun,पुनर्वसू,β Gem,Pollux,HIP  37826
N08-Pus,पुष्यः,δ Cnc,Asellus Australis,HIP  42911
N09-Asl,आश्लेषः,ζ Hya,Minazal V,HIP 43813
N10-Mag,मघाः,ζ Leo,Adhafera,HIP 50335
N11-PPal,पूर्वफल्गुनी,δ Leo,Zosma,HIP  54872
N12-UPal,उत्तरफल्गुनी,β Leo,Denebola,HIP  57632
N13-Has,हस्तः,δ Crv,Algorab,HIP  60965
N14-Chi,चित्रा,α Vir,Spica,HIP  65474
N15-Swa,स्वाती,α Boo,Arcturus,HIP  69673
N16-Vis,विशाखे,α2 Lib,Zubenelgenubi,HIP 72622
N17-Anu,अनूराधा,δ Sco,Dschubba,HIP  78401
N18-Jye,ज्येष्ठा,ε Sco,Larawag,HIP  82396
N19-Mul,मूलं,κ Sco,Mula,HIP  86670
N20-PAsh,पूर्वाषाढा,λ Sgr,Kaus Borealis,HIP 90496
N21-UAsh,उत्तराषाढा,τ Sgr,Namalsadirah II,HIP  93864
N22-Shr,श्रवणः,α Aql,Altair,HIP  97649
N23-Dha,धनिष्ठा,β Del,Rotanev,HIP 101769
N24-Sha,शतभिषक्,λ Aqr,Hydor,HIP 112961
N25-PBha,पूर्वाभाद्रपदा,α Peg,Markab,HIP 113963
N26-UBha,उत्तराभाद्रपदा,λ Peg,Sadalnazi,HIP 112440
N27-Rev,रेवती,ε Psc,epsPsc,HIP 4906
