nid,gname,raJ2000,decJ2000,daynum,jd,iso,az,alt
N01-Ash,β Ari,28.660045789,20.808031472,0,1063623.5815798263,-1800-01-01 01:57:28.497,65.56293325407327,-36.91154500599814
N01-Ash,β Ari,28.660045789,20.808031472,1,1063624.5815798263,-1800-01-02 01:57:28.497,66.29614389428988,-36.12138759828657
N01-Ash,β Ari,28.660045789,20.808031472,2,1063625.5815798263,-1800-01-03 01:57:28.497,67.01465117719736,-35.32682232454311
N01-Ash,β Ari,28.660045789,20.808031472,3,1063626.5818303241,-1800-01-04 01:57:50.140,67.78302460555851,-34.45457965441941
N01-Ash,β Ari,28.660045789,20.808031472,4,1063627.5818303241,-1800-01-05 01:57:50.140,68.47278615309318,-33.65146759281796
N01-Ash,β Ari,28.660045789,20.808031472,5,1063628.5818303241,-1800-01-06 01:57:50.140,69.14971725710141,-32.84457033638192
N01-Ash,β Ari,28.660045789,20.808031472,6,1063629.5818303241,-1800-01-07 01:57:50.140,69.81437753988187,-32.03406949050927
N01-Ash,β Ari,28.660045789,20.808031472,7,1063630.5818303241,-1800-01-08 01:57:50.140,70.46730512138922,-31.22013774333723
N01-Ash,β Ari,28.660045789,20.808031472,8,1063631.5818303241,-1800-01-09 01:57:50.140,71.10901731069438,-30.402939354239734
N01-Ash,β Ari,28.660045789,20.808031472,9,1063632.5818303241,-1800-01-10 01:57:50.140,71.74001139866617,-29.58263067131289
N01-Ash,β Ari,28.660045789,20.808031472,10,1063633.5815798263,-1800-01-11 01:57:28.497,72.30423469969492,-28.835008550057868
N01-Ash,β Ari,28.660045789,20.808031472,11,1063634.5815798263,-1800-01-12 01:57:28.497,72.91608736548355,-28.009172163268072
N01-Ash,β Ari,28.660045789,20.808031472,12,1063635.5813293287,-1800-01-13 01:57:06.854,73.46367357293013,-27.256759788175945
N01-Ash,β Ari,28.660045789,20.808031472,13,1063636.5813293287,-1800-01-14 01:57:06.854,74.05800508468813,-26.42589271452181
N01-Ash,β Ari,28.660045789,20.808031472,14,1063637.5810788195,-1800-01-15 01:56:45.210,74.59037357561887,-25.66912699737555
N01-Ash,β Ari,28.660045789,20.808031472,15,1063638.5810788195,-1800-01-16 01:56:45.210,75.16870008354533,-24.83368935805714
N01-Ash,β Ari,28.660045789,20.808031472,16,1063639.5808283219,-1800-01-17 01:56:23.567,75.68719113208174,-24.072967275520785
N01-Ash,β Ari,28.660045789,20.808031472,17,1063640.580577824,-1800-01-18 01:56:01.924,76.19952217738162,-23.3104984511442
N01-Ash,β Ari,28.660045789,20.808031472,18,1063641.5803273264,-1800-01-19 01:55:40.281,76.70596945667295,-22.546365802602658
N01-Ash,β Ari,28.660045789,20.808031472,19,1063642.5800768172,-1800-01-20 01:55:18.637,77.20679755997071,-21.78065233962673
N01-Ash,β Ari,28.660045789,20.808031472,20,1063643.5798263194,-1800-01-21 01:54:56.994,77.70226869205544,-21.01342663954922
N01-Ash,β Ari,28.660045789,20.808031472,21,1063644.5795758218,-1800-01-22 01:54:35.351,78.19262927581497,-20.24476448438308
N01-Ash,β Ari,28.660045789,20.808031472,22,1063645.5793253125,-1800-01-23 01:54:13.707,78.67811813655973,-19.474738700509857
N01-Ash,β Ari,28.660045789,20.808031472,23,1063646.578824317,-1800-01-24 01:53:30.421,79.1106103290041,-18.781378253873026
