m	s	im	is	confidence	edit_dist	i_edit_dist
असुचि	पूर्ति	asuchi	purti	0.09999999999999998	5	4
असुभाय	अशुभाय	asubhaya	ashubhaya	0.8333333333333334	1	1
अस्थि	सति	asthi	sati	0.4	3	3
अस्सगिरिमहाविहाराय	अश्वगिरिमहाविहाराय	assagirimahaviharaya	ashvagirimahaviharaya	0.8888888888888888	2	2
अस्सद्धं	अश्रद्धम्	assaddham	ashraddham	0.625	4	2
अस्सपोतप्पमाणो	अश्वपोतप्रमाणः	assapotappamano	ashvapotapramanah	0.6785714285714286	4	5
अस्सरतनं	अश्वरत्नं	assaratanam	ashvaratnam	0.625	3	3
अस्सोसि	भोः	assosi	bhoh	0.2142857142857143	6	5
अहं	अहं	aham	aham	1.0	0	0
अहतवत्थकपिलगाविदानादीहि	कपिलगोदानादिभिः	ahatavatthakapilagavidanadihi	kapilagodanadibhih	0.3695652173913043	13	16
अहमेव	अहमेव	ahameva	ahameva	1.0	0	0
अहोसि	आसीत्	ahosi	asit	0.19999999999999996	5	3
आगच्छन्त	आगच्छन्तु	agachchanta	agachchantu	0.875	1	1
आगतकाले	आगतकाले	agatakale	agatakale	1.0	0	0
आगतानि	आगतानि	agatani	agatani	1.0	0	0
आगते	आगते	agate	agate	1.0	0	0
आगन्तब्बं	आगन्तव्यम्	agantabbam	agantavyam	0.6666666666666667	4	2
आगन्त्वा	आगत्य	agantva	agatya	0.625	4	2
आगम्य	आगम्य	agamya	agamya	1.0	0	0
आगारं	आगारम्	agaram	agaram	0.8	2	0
आचरियके	आचार्यके	achariyake	acharyake	0.7857142857142857	2	1
आणापेसि	अपि	anapesi	api	0.3571428571428571	5	4
आदाय	आदाय	adaya	adaya	1.0	0	0
आदिकल्याणं	आदिकल्याणं	adikalyanam	adikalyanam	1.0	0	0
आदीनवं	आदीनवं	adinavam	adinavam	1.0	0	0
आधावित्वा	आधाव्य	adhavitva	adhavya	0.6111111111111112	4	3
आपत्ति	आपत्तिः	apatti	apattih	0.8333333333333334	1	1
आभुजित्वा	आभुज्य	abhujitva	abhujya	0.6111111111111112	4	3
आमन्तेसि	अमन्त्रयसि	amantesi	amantrayasi	0.5	4	4
आरामं	आरामं	aramam	aramam	1.0	0	0
आरोचेत्वा	मारोच्य	arochetva	marochya	0.4444444444444444	6	4
आरोचेसि	आरूरुचत्	arochesi	aruruchat	0.1428571428571429	6	6
आरोपेतब्बं	आरोपितव्यम्	aropetabbam	aropitavyam	0.6	5	3
आरोपेत्वा	त्वां	aropetva	tvam	0.33333333333333337	6	6
आरोपेम	आरोपयाम	aropema	aropayama	0.5833333333333333	2	3
आरोपेमा	आरोपयेम	aropema	aropayema	0.7142857142857143	2	2
आरोपेमाति	आरोपयाम	aropemati	aropayama	0.5555555555555556	4	4
आरोपेय्य	आरोपयेत्	aropeyya	aropayet	0.625	3	3
आसनानि	आसनानि	asanani	asanani	1.0	0	0
आसाढिनक्खत्तं	आषाढीनक्षत्रं	asadhinakkhattam	ashadhinakshatram	0.7307692307692308	4	3
आह	आह	aha	aha	1.0	0	0
इच्छानङ्गलं	इच्छानङ्गलं	ichchana~ngalam	ichchana~ngalam	1.0	0	0
इच्छानङ्गलवनसण्डे	इच्छानङ्गलवनषण्डे	ichchana~ngalavanasande	ichchana~ngalavanashande	0.9411764705882353	1	1
इच्छानङ्गलवनसण्डो	इच्छानङ्गलवनसण्डो	ichchana~ngalavanasando	ichchana~ngalavanasando	1.0	0	0
इच्छानङ्गले	इच्छानङ्गले	ichchana~ngale	ichchana~ngale	1.0	0	0
इतिपि	इत्यपि	itipi	ityapi	0.6	2	2
इतिहासपञ्‍चमानं	इतिहासपञ्चमानं	itihasapa~n{}chamanam	itihasapa~nchamanam	0.9	1	2
इत्थिरतनं	हस्तिरत्नं	itthiratanam	hastiratnam	0.5	4	5
इथिगब्भो	स्त्रीगर्भः	ithigabbho	strigarbhah	0.1875	8	5
इद्धिया	ऋद्धया	iddhiya	rriddhaya	0.6428571428571428	2	3
इधूपसङ्कन्ता	इधूपसङ्कन्ता	idhupasa~nkanta	idhupasa~nkanta	1.0	0	0
इमं	इमं	imam	imam	1.0	0	0
इममत्थं	अर्थं	imamattham	artham	0.3571428571428571	4	5
इमस्मि	अस्मिन्	imasmi	asmin	0.41666666666666663	4	3
इमस्मिं	अस्मिन्	imasmim	asmin	0.5	4	3
इमा	इमां	ima	imam	0.6666666666666667	1	1
इमिना	अमुना	imina	amuna	0.6	2	2
इमेसं	एतेषां	imesam	etesham	0.30000000000000004	4	3
इर्मास्म	अस्मिन्	irmasma	asmin	0.375	5	5
उक्खिपित्वा	नीत्वा	ukkhipitva	nitva	0.40909090909090906	7	6
उक्‍कट्ठं	उत्कृष्टं	uk{}kattham	utkrrishtam	0.33333333333333337	5	7
उग्गण्हिंसु	उद्गृहिंसुः	ugganhimsu	udgrrihimsuh	0.5909090909090908	4	5
उग्गण्हिता	उद्गृहीतः	ugganhita	udgrrihitah	0.5	5	5
उग्गण्हित्वा	उदृहीत्वा	ugganhitva	udrrihitva	0.5833333333333333	6	4
उग्गहितपुब्बो	उद्गृहीतपूर्वः	uggahitapubbo	udgrrihitapurvah	0.42307692307692313	7	8
उट्ठायासना	उट्ठायासना	utthayasana	utthayasana	1.0	0	0
उठ्ठाय	उत्थाय	uththaya	utthaya	0.75	2	1
उत्तरदिशतो	उत्तरदि	uttaradishato	uttaradi	0.6	3	5
उत्तरपि	उत्तरमपि	uttarapi	uttaramapi	0.7857142857142857	1	2
उत्तरासाळहनक्खत्तेन	उत्तराषाढनक्षत्रेण	uttarasalahanakkhattena	uttarashadhanakshatrena	0.7105263157894737	6	5
उदके	उदके	udake	udake	1.0	0	0
उदरे	उदरे	udare	udare	1.0	0	0
उदुम्बरं	एकमुदुम्बरं	udumbaram	ekamudumbaram	0.5	4	4
उदुम्बररुक्खे	उदुम्बरवृक्षे	udumbararukkhe	udumbaravrrikshe	0.7307692307692308	3	4
उदुम्बरे	उदुम्बरे	udumbare	udumbare	1.0	0	0
उदुम्बरो	उदुम्बरः	udumbaro	udumbarah	0.8125	1	2
उन्हे	उष्ण	unhe	ushna	0.4	3	3
उपगतेन	उपगतेन	upagatena	upagatena	1.0	0	0
उपट्टहामी	उअस्थापयामि	upattahami	uasthapayami	0.2777777777777778	7	6
उपरिपा	भूत्वा	uparipa	bhutva	0.08333333333333337	5	6
उपरिसोणदण्डसुत्तादीसुपि	उपरिश्रवणदण्डसूक्तादिषु	uparisonadandasuttadisupi	uparishravanadandasuktadishu	0.5869565217391304	10	9
उपसङ्कमित्वा	उपसङ्कमित्वा	upasa~nkamitva	upasa~nkamitva	1.0	0	0
उपायेन	पायेन	upayena	payena	0.8333333333333334	1	1
उपोसथङ्गानि	महादानं	uposatha~ngani	mahadanam	0.13636363636363635	9	10
उप्पज्जि	उदपादि	uppajji	udapadi	0.4375	5	4
उप्पतितो	उत्पतितो	uppatito	utpatito	0.875	1	1
उप्पतित्वा	उत्पत्य	uppatitva	utpatya	0.55	5	4
उप्पनो	उत्पन्नः	uppano	utpannah	0.33333333333333337	4	4
उप्पादेत्वा	उत्पाद्य	uppadetva	utpadya	0.5909090909090908	5	4
उस्सहिं	उत्सहे	ussahim	utsahe	0.5714285714285714	3	3
एकं	एकं	ekam	ekam	1.0	0	0
एकग्गं	एकाग्र	ekaggam	ekagra	0.5833333333333333	3	2
एकचरो	एकचरो	ekacharo	ekacharo	1.0	0	0
एकदिवसं	अथैकदिवसं	ekadivasam	athaikadivasam	0.4285714285714286	3	5
एकमन्तं	एकमन्तम्	ekamantam	ekamantam	0.8571428571428572	2	0
एकस्मिं	एकस्मिन्	ekasmim	ekasmin	0.7857142857142857	2	1
एकस्स	एकस्य	ekassa	ekasya	0.8	1	1
एकेन	एकेन	ekena	ekena	1.0	0	0
एको	एको	eko	eko	1.0	0	0
एतं	एतं	etam	etam	1.0	0	0
एतदवोच	एतदवोच	etadavocha	etadavocha	1.0	0	0
एतदवोचुं	एतदवोचताम्	etadavochum	etadavochatam	0.5625	4	3
एतरहि	एतरहि	etarahi	etarahi	1.0	0	0
एते	एते	ete	ete	1.0	0	0
एतेहि	च	etehi	cha	0.09999999999999998	5	4
एत्थ	अत्र	ettha	atra	0.375	2	3
एत्य	अत्र	etya	atra	0.5	2	2
एवं	एवं	evam	evam	1.0	0	0
एवंभूतेन	एवंभूतेन	evambhutena	evambhutena	1.0	0	0
एवमादिना	आदिना	evamadina	adina	0.5	4	4
एवमाह	एनमाह	evamaha	enamaha	0.8	1	1
एवमेव	एवमेव	evameva	evameva	1.0	0	0
एसा	एषा	esa	esha	0.6666666666666667	1	1
एहि	एहि	ehi	ehi	1.0	0	0
ओक्कमाना	निपन्ना	okkamana	nipanna	0.3125	6	5
ओरिमतीरतो	अवरतीरतः	orimatirato	avaratiratah	0.38888888888888884	5	6
ओलम्बन्तं	अवलम्बमानं	olambantam	avalambamanam	0.38888888888888884	5	6
ओलम्बन्ती	अवलम्बन्ते	olambanti	avalambante	0.6111111111111112	3	4
ओवदति	अववदति	ovadati	avavadati	0.5	2	3
ओवादं	अववादम्	ovadam	avavadam	0.30000000000000004	4	3
ओसीदापेसि	उदके	osidapesi	udake	0.2777777777777778	7	6
कच्चायन	कात्यायन	kachchayana	katyayana	0.5	3	4
कच्चायनं	कात्यायनं	kachchayanam	katyayanam	0.5625	3	4
कच्चायनब्याकरणस्स	कात्यायनव्याकरणस्य	kachchayanabyakaranassa	katyayanavyakaranasya	0.6764705882352942	5	6
कच्चायनेन	कात्यायनेन	kachchayanena	katyayanena	0.6111111111111112	3	4
कतं	अहं	katam	aham	0.33333333333333337	2	2
कतकिरियं	कृतक्रियां	katakiriyam	krritakriyam	0.5625	3	4
कतन्ति	इति	katanti	iti	0.25	4	5
कतमङ्गलसक्काराय	कृतमङ्गलसत्कारायां	katama~ngalasakkaraya	krritama~ngalasatkarayam	0.7	4	5
कतरेन	कतरेण	katarena	katarena	0.9	1	0
कत्वा	कृत्वा	katva	krritva	0.6	1	3
कथं	कथं	katham	katham	1.0	0	0
कथञ्हि	“कथं	katha~nhi	“katham	0.16666666666666663	5	5
कथापेत्वा	कथयित्वा	kathapetva	kathayitva	0.7222222222222222	3	2
कथेन्तेन	कथयता	kathentena	kathayata	0.375	5	5
कनकविमानं	कनकविमानं	kanakavimanam	kanakavimanam	1.0	0	0
कपियोनियं	योन्यां	kapiyoniyam	yonyam	0.4444444444444444	5	5
कपिलवत्थुनगरे	कपिलवस्तुनगरे	kapilavatthunagare	kapilavastunagare	0.8461538461538461	2	2
कप्पेति	कल्पयति	kappeti	kalpayati	0.5714285714285714	2	4
कम्मं	कर्म	kammam	karma	0.6	2	2
करिस्सामि	करजकायो	karissami	karajakayo	0.33333333333333337	6	6
करोति	करोति	karoti	karoti	1.0	0	0
करोन्तु	कुर्वन्तु	karontu	kurvantu	0.5714285714285714	3	3
करोन्तो	कर्म	karonto	karma	0.4285714285714286	4	4
कलन्दकनिवापे	कलन्दकनिवापे	kalandakanivape	kalandakanivape	1.0	0	0
कल्याणवाक्‍करणा	कल्याणवाक्करणौ	kalyanavak{}karana	kalyanavakkaranau	0.8333333333333334	2	3
कल्याणवाक्‍करणाति	कल्याणवाक्करणौ	kalyanavak{}karanati	kalyanavakkaranau	0.7647058823529411	4	4
कल्याणवाचा	कल्याणवाचौ	kalyanavacha	kalyanavachau	0.9	1	1
कल्याणो	कल्याणो	kalyano	kalyano	1.0	0	0
कसटफलानि	कष्टफलानि	kasataphalani	kashtaphalani	0.8125	2	1
कहं	कहं	kaham	kaham	1.0	0	0
कामेहि	किं	kamehi	kim	0.25	5	4
कारणं	कारणम्	karanam	karanam	0.8	2	0
कारेन्ते	कुर्वति	karente	kurvati	0.4375	5	4
कालमकासि	कालमकार्षीत्	kalamakasi	kalamakarshit	0.4375	6	3
किं	किं	kim	kim	1.0	0	0
किच्चसङ्गहं	कृत्यसङ्ग्रहं	kichchasa~ngaham	krrityasa~ngraham	0.5	5	6
कित्तिसद्दो	कीर्तिशब्दः	kittisaddo	kirtishabdah	0.5454545454545454	5	5
किर	किल	kira	kila	0.6666666666666667	1	1
किलेसमलधोवनअमतमहानिब्बानतळाके	क्लेशमलधावनामृतमहानिर्वाणतडागे	kilesamaladhovanaamatamahanibbanatalake	kleshamaladhavanamrritamahanirvanatadage	0.6379310344827587	10	11
किलेसेहि	क्लेशैः	kilesehi	kleshaih	0.4375	5	4
किससरीरताय	कृशशरीरतया	kisasarirataya	krrishasharirataya	0.55	5	4
किसा	सा	kisa	sa	0.5	2	2
कीळनकाले	क्रीडनकाले	kilanakale	kridanakale	0.6875	3	2
कीळेति	क्रीडति	kileti	kridati	0.41666666666666663	4	3
कुच्छिं	कुक्षिं	kuchchim	kukshim	0.6428571428571428	2	3
कुच्छिम्हि	कुक्ष्यां	kuchchimhi	kukshyam	0.30000000000000004	7	7
कुम्भील	कुम्भील	kumbhila	kumbhila	1.0	0	0
कुम्भीलराज	कुम्भीलराज	kumbhilaraja	kumbhilaraja	1.0	0	0
कुम्भीलस्स	कुम्भीलस्य	kumbhilassa	kumbhilasya	0.9	1	1
कुम्भीलानं	कुम्भीलानां	kumbhilanam	kumbhilanam	0.95	1	0
कुम्भीलो	कुम्भीलः	kumbhilo	kumbhilah	0.8125	1	2
कुलं	कुलम्	kulam	kulam	0.75	2	0
केवलपरिपुण्णं	केवलपरिपूर्णं	kevalaparipunnam	kevalaparipurnam	0.8846153846153846	2	1
कोञ्चनादं	क्रौञ्चनादं	ko~nchanadam	krau~nchanadam	0.6666666666666667	3	3
कोसलानं	कोसलानां	kosalanam	kosalanam	0.9285714285714286	1	0
कोसलेन	कोसलेन	kosalena	kosalena	1.0	0	0
कोसलेसु	कोसलेषु	kosalesu	kosaleshu	0.8571428571428572	1	1
खमापेत्वा	अहमेव	khamapetva	ahameva	0.38888888888888884	7	4
खलु	खलु	khalu	khalu	1.0	0	0
खादन्तो	खादन्तो	khadanto	khadanto	1.0	0	0
खादापेतुकामो	खादयितुकाम	khadapetukamo	khadayitukama	0.7083333333333333	4	3
खादितुं	खादितुं	khaditum	khaditum	1.0	0	0
खादित्वा	खादित्वा	khaditva	khaditva	1.0	0	0
खूपसमभूतं	व्युपशमभूतं	khupasamabhutam	vyupashamabhutam	0.5555555555555556	5	3
खूपसमेन	व्युपशमेन	khupasamena	vyupashamena	0.4285714285714286	5	3
खेमं	मं	khemam	mam	0.375	2	3
खो	खो	kho	kho	1.0	0	0
गङ्गा	गङ्गा	ga~nga	ga~nga	1.0	0	0
गच्छति	गच्छति	gachchati	gachchati	1.0	0	0
गच्छन्तो	गच्छन्	gachchanto	gachchan	0.75	2	2
गच्छसि	गच्छसि	gachchasi	gachchasi	1.0	0	0
गच्छामि	गच्छामि	gachchami	gachchami	1.0	0	0
गण्हाति	गृह्णाति	ganhati	grrihnati	0.5	3	4
गण्हाही	गृहाण	ganhahi	grrihana	0.3571428571428571	4	5
गण्हि	तत्	ganhi	tat	0.19999999999999996	4	4
गतं	गतां	gatam	gatam	0.8333333333333334	1	0
गतियो	गती	gatiyo	gati	0.5	3	2
गत्वा	गत्वा	gatva	gatva	1.0	0	0
गन्तब्बं	गन्तव्यम्	gantabbam	gantavyam	0.625	4	2
गन्त्वा	गन्त्वा	gantva	gantva	1.0	0	0
गन्धेहि	गन्धैः	gandhehi	gandhaih	0.5714285714285714	3	3
गन्धोदकेन	गन्धोदकेन	gandhodakena	gandhodakena	1.0	0	0
गन्้थ	ग्रन्थ	gan้tha	grantha	0.5	3	2
गब्भो	गर्भः	gabbho	garbhah	0.5	2	3
गमिस्सामी	गमिष्यामि	gamissami	gamishyami	0.7222222222222222	3	2
गवेसितुं	गवेषयितु	gavesitum	gaveshayitu	0.5625	3	4
गहपतिरतनं	गृहपतिरत्नं	gahapatiratanam	grrihapatiratnam	0.6666666666666667	2	4
गहितस्स	गृहोतस्य	gahitassa	grrihotasya	0.4285714285714286	3	5
गहेत्वा	नदित्वा	gahetva	naditva	0.5714285714285714	3	3
गाथमाह	गाथामाह	gathamaha	gathamaha	0.9166666666666666	1	0
गाथा	गाथाम्	gatha	gatham	0.625	2	1
गूथरासिम्हि	गूथराश्यां	gutharasimhi	gutharashyam	0.5454545454545454	6	4
गोतम	गोतम	gotama	gotama	1.0	0	0
गोतमं	गोतमं	gotamam	gotamam	1.0	0	0
गोतमी	गौतमी	gotami	gautami	0.7	1	2
गोतमो	गोतमो	gotamo	gotamo	1.0	0	0
घुटुं	घुष्टम्	ghutum	ghushtam	0.30000000000000004	4	3
च	च	cha	cha	1.0	0	0
चक्कवत्ती	चक्रवर्ती	chakkavatti	chakravarti	0.7777777777777778	2	2
चक्‍करतनं	चक्ररत्नं	chak{}karatanam	chakraratnam	0.6111111111111112	3	4
चक्‍कवत्ती	चक्रवर्ती	chak{}kavatti	chakravarti	0.65	3	4
चङ्कमन्ति	चङ्कमन्ति	cha~nkamanti	cha~nkamanti	1.0	0	0
चतुट्ठिमत्ते	चतुःषष्टिमात्रान्	chatutthimatte	chatuhshashtimatran	0.25	9	9
चतूहि	चतुर्भिः	chatuhi	chaturbhih	0.19999999999999996	5	3
चत्तारि	चत्वारि	chattari	chatvari	0.8571428571428572	1	1
चत्तारो	चत्वारः	chattaro	chatvarah	0.6428571428571428	2	3
चरन्तानं	चरतां	charantanam	charatam	0.625	3	3
चरमानो	चरमाणः	charamano	charamanah	0.6666666666666667	2	2
चरसि	चरसि	charasi	charasi	1.0	0	0
चरित्वा	चरित्वा	charitva	charitva	1.0	0	0
चस्सा	चास्याः	chassa	chasyah	0.5	3	2
चातुरन्तो	चातुरन्तः	chaturanto	chaturantah	0.8333333333333334	1	2
चारिकं	चारिकं	charikam	charikam	1.0	0	0
चिण्णट्ठाने	जीर्णस्थान	chinnatthane	jirnasthana	0.5	6	5
चित्तं	चित्तं	chittam	chittam	1.0	0	0
चिन्तयि	चिन्तय	chintayi	chintaya	0.8571428571428572	1	1
चिन्ते	हि	chinte	hi	0.25	5	4
चिन्तेत्वा	चिन्तयित्वा	chintetva	chintayitva	0.75	2	3
चिन्तेसि	अचिचिन्तत्	chintesi	achichintat	0.1875	6	7
चुण्णविचुण्णं	चूर्णविचूर्णं	chunnavichunnam	churnavichurnam	0.7692307692307692	4	2
चोरसदिसो	करजकायो	chorasadiso	karajakayo	0.1875	6	7
चोरेहि	चौरैः	chorehi	chauraih	0.25	4	5
च्चजिस्सामि	क्ष्यामि	chchajissami	kshyami	0.36363636363636365	6	8
छडुत्वा	छर्दयित्वा	chadutva	chardayitva	0.3571428571428571	5	4
छन्दसो	छन्दस:	chandaso	chandasa:	0.75	1	2
छळभिज्ञो	षडभिज्ञः	chalabhij~no	shadabhij~nah	0.5625	3	4
छिल्देर्स्	छिल्द्	childers	child	0.65	4	3
जग्वूहि	जम्बूभिः	jagvuhi	jambubhih	0.4285714285714286	4	4
जनपदत्थावरियप्पत्तो	जनपदस्थावर्यप्राप्तः?	janapadatthavariyappatto	janapadasthavaryapraptah?	0.631578947368421	7	7
जराजिण्णं	जराजीण	jarajinnam	jarajina	0.6666666666666667	4	2
जराधम्मो	जराधर्मो	jaradhammo	jaradharmo	0.875	1	1
जातकालतो	जातकालतः	jatakalato	jatakalatah	0.8125	1	2
