#	naks	main_id	name	is_yoga	mag	bri	ra	dec
1	N01-Ash	* alf Ari	Hamal	1	2.0	5.0	31.79	23.46
2	N01-Ash	* bet Ari	Sheratan	0	2.7	4.0	28.66	20.81
3	N02-Bha	* 41 Ari	Bharani	1	3.6	3.0	42.50	27.26
4	N02-Bha	* 31 Ari	xxx	0	5.7	1.0	39.16	12.45
5	N02-Bha	* 35 Ari	xxx	0	4.7	2.0	40.86	27.71
6	N03-Kri	* eta Tau	Alcyone	1	2.9	4.0	56.87	24.11
7	N03-Kri	* 17 Tau	Electra	0	3.7	3.0	56.22	24.11
8	N03-Kri	* q Tau	Taygeta	0	4.3	3.0	56.30	24.47
9	N03-Kri	* 20 Tau	Maia	0	3.9	3.0	56.46	24.37
10	N03-Kri	* 23 Tau	Merope	0	4.2	3.0	56.58	23.95
11	N03-Kri	* 27 Tau	Atlas	0	3.6	3.0	57.29	24.05
12	N03-Kri	* 28 Tau	Pleione	0	5.1	2.0	57.30	24.14
13	N04-Roh	* alf Tau	Aldebaran	1	0.9	6.0	68.98	16.51
14	N04-Roh	* gam Tau	Prima Hyadum	0	3.7	3.0	64.95	15.63
15	N04-Roh	* del Tau	Secunda Hyadum	0	3.8	3.0	65.73	17.54
16	N04-Roh	* eps Tau	Ain	0	3.5	3.0	67.15	19.18
17	N04-Roh	* tet02 Tau	Chamukuy	0	3.4	4.0	67.17	15.87
18	N05-Mrg	* gam Ori	Bellatrix	1	1.6	5.0	81.28	6.35
19	N05-Mrg	* phi01 Ori	lambda Ori X-5	0	4.4	3.0	83.71	9.49
20	N05-Mrg	* lam Ori	Heka	0	3.7	3.0	83.78	9.93
21	N06-Ard	* alf Ori	Betelgeuse	1	0.4	7.0	88.79	7.41
22	N07-Pun	* bet Gem	Pollux	1	1.1	6.0	116.33	28.03
23	N07-Pun	* alf Gem	Castor	0	1.6	5.0	113.65	31.89
24	N08-Pus	* del Cnc	Asellus Australis	1	3.9	3.0	131.17	18.15
