nid,gname,raJ2000,decJ2000,daynum,jd,iso,az,alt
N01-Ash,β Ari,28.660045789,20.808031472,0,990574.5815798264,-2000-01-01 01:57:28.497,68.10406248122224,-35.901313135620995
N01-Ash,β Ari,28.660045789,20.808031472,1,990575.5815798264,-2000-01-02 01:57:28.497,68.80264339710277,-35.09639194271588
N01-Ash,β Ari,28.660045789,20.808031472,2,990576.581830324,-2000-01-03 01:57:50.140,69.54999216614243,-34.213317050473925
N01-Ash,β Ari,28.660045789,20.808031472,3,990577.581830324,-2000-01-04 01:57:50.140,70.22115617622575,-33.400701378213604
N01-Ash,β Ari,28.660045789,20.808031472,4,990578.581830324,-2000-01-05 01:57:50.140,70.88010946448873,-32.584684299579635
N01-Ash,β Ari,28.660045789,20.808031472,5,990579.581830324,-2000-01-06 01:57:50.140,71.52740161258419,-31.76543388116053
N01-Ash,β Ari,28.660045789,20.808031472,6,990580.581830324,-2000-01-07 01:57:50.140,72.16356127929159,-30.943110619100075
N01-Ash,β Ari,28.660045789,20.808031472,7,990581.581830324,-2000-01-08 01:57:50.140,72.78909723434958,-30.117867889049
N01-Ash,β Ari,28.660045789,20.808031472,8,990582.581830324,-2000-01-09 01:57:50.140,73.40449928684836,-29.28985234033109
N01-Ash,β Ari,28.660045789,20.808031472,9,990583.581830324,-2000-01-10 01:57:50.140,74.01023904215312,-28.459204208803154
N01-Ash,β Ari,28.660045789,20.808031472,10,990584.581830324,-2000-01-11 01:57:50.140,74.60677044871346,-27.626057532855775
N01-Ash,β Ari,28.660045789,20.808031472,11,990585.5815798264,-2000-01-12 01:57:28.497,75.14096499839128,-26.867287412589512
N01-Ash,β Ari,28.660045789,20.808031472,12,990586.5815798264,-2000-01-13 01:57:28.497,75.72112229971151,-26.02972334040722
N01-Ash,β Ari,28.660045789,20.808031472,13,990587.5815798264,-2000-01-14 01:57:28.497,76.29329442845764,-25.19001646064576
N01-Ash,β Ari,28.660045789,20.808031472,14,990588.5813293287,-2000-01-15 01:57:06.854,76.80638498301101,-24.425582991265888
N01-Ash,β Ari,28.660045789,20.808031472,15,990589.5810788195,-2000-01-16 01:56:45.210,77.31348744492205,-23.659556974209323
N01-Ash,β Ari,28.660045789,20.808031472,16,990590.5810788195,-2000-01-17 01:56:45.210,77.8652119355778,-22.814396326085273
N01-Ash,β Ari,28.660045789,20.808031472,17,990591.5808283217,-2000-01-18 01:56:23.567,78.36061550803548,-22.04525915153965
N01-Ash,β Ari,28.660045789,20.808031472,18,990592.580577824,-2000-01-19 01:56:01.924,78.85085012534424,-21.274755215513494
N01-Ash,β Ari,28.660045789,20.808031472,19,990593.5803273264,-2000-01-20 01:55:40.281,79.33616562801477,-20.50295480159381
N01-Ash,β Ari,28.660045789,20.808031472,20,990594.5800768171,-2000-01-21 01:55:18.637,79.81680392230898,-19.729930452699275
N01-Ash,β Ari,28.660045789,20.808031472,21,990595.5798263195,-2000-01-22 01:54:56.994,80.29300779151086,-18.95574239052984
N01-Ash,β Ari,28.660045789,20.808031472,22,990596.5793253125,-2000-01-23 01:54:13.707,80.71751413458296,-18.25882161355409
N01-Ash,β Ari,28.660045789,20.808031472,23,990597.5790748148,-2000-01-24 01:53:52.064,81.18592639189005,-17.482609682089166
N01-Ash,β Ari,28.660045789,20.808031472,24,990598.5788243171,-2000-01-25 01:53:30.421,81.65055612112764,-16.705421527669
