nid,gname,raJ2000,decJ2000,daynum,jd,iso,az,alt
N01-Ash,β Ari,28.660045789,20.808031472,0,1209720.5810788195,-1400-01-01 01:56:45.210,59.287810869273514,-39.59666741728837
N01-Ash,β Ari,28.660045789,20.808031472,1,1209721.5810788195,-1400-01-02 01:56:45.210,60.116078922447905,-38.84946824926659
N01-Ash,β Ari,28.660045789,20.808031472,2,1209722.5813293287,-1400-01-03 01:57:06.854,60.99985601486516,-38.0266864625225
N01-Ash,β Ari,28.660045789,20.808031472,3,1209723.5813293287,-1400-01-04 01:57:06.854,61.7913561464774,-37.26690961611422
N01-Ash,β Ari,28.660045789,20.808031472,4,1209724.5813293287,-1400-01-05 01:57:06.854,62.566321255448244,-36.501538232242446
N01-Ash,β Ari,28.660045789,20.808031472,5,1209725.5815798263,-1400-01-06 01:57:28.497,63.39426001346044,-35.65986151517495
N01-Ash,β Ari,28.660045789,20.808031472,6,1209726.5815798263,-1400-01-07 01:57:28.497,64.13670739259334,-34.88359413175685
N01-Ash,β Ari,28.660045789,20.808031472,7,1209727.5815798263,-1400-01-08 01:57:28.497,64.86455677850618,-34.102479423188214
N01-Ash,β Ari,28.660045789,20.808031472,8,1209728.5815798263,-1400-01-09 01:57:28.497,65.5783961005815,-33.31673776668844
N01-Ash,β Ari,28.660045789,20.808031472,9,1209729.5813293287,-1400-01-10 01:57:06.854,66.21508675680282,-32.599247429450536
N01-Ash,β Ari,28.660045789,20.808031472,10,1209730.5813293287,-1400-01-11 01:57:06.854,66.90375690335152,-31.805254629839844
N01-Ash,β Ari,28.660045789,20.808031472,11,1209731.5813293287,-1400-01-12 01:57:06.854,67.58002163178766,-31.007222995417653
N01-Ash,β Ari,28.660045789,20.808031472,12,1209732.5813293287,-1400-01-13 01:57:06.854,68.24439397895891,-30.20533569954166
N01-Ash,β Ari,28.660045789,20.808031472,13,1209733.5810788195,-1400-01-14 01:56:45.210,68.83792580069219,-29.473822901029486
N01-Ash,β Ari,28.660045789,20.808031472,14,1209734.5808283219,-1400-01-15 01:56:23.567,69.42241299442578,-28.7393928900906
N01-Ash,β Ari,28.660045789,20.808031472,15,1209735.5808283219,-1400-01-16 01:56:23.567,70.05588055646115,-27.92754902001103
N01-Ash,β Ari,28.660045789,20.808031472,16,1209736.580577824,-1400-01-17 01:56:01.924,70.62246799848765,-27.187374251859662
N01-Ash,β Ari,28.660045789,20.808031472,17,1209737.5803273264,-1400-01-18 01:55:40.281,71.18104339889325,-26.44463608745596
N01-Ash,β Ari,28.660045789,20.808031472,18,1209738.5800768172,-1400-01-19 01:55:18.637,71.73191984748993,-25.69944356758473
N01-Ash,β Ari,28.660045789,20.808031472,19,1209739.5798263194,-1400-01-20 01:54:56.994,72.27540968273713,-24.95189211595231
N01-Ash,β Ari,28.660045789,20.808031472,20,1209740.5795758218,-1400-01-21 01:54:35.351,72.81180899282718,-24.2020843223408
N01-Ash,β Ari,28.660045789,20.808031472,21,1209741.5793253125,-1400-01-22 01:54:13.707,73.34140541692273,-23.450119432651366
N01-Ash,β Ari,28.660045789,20.808031472,22,1209742.579074815,-1400-01-23 01:53:52.064,73.86448540905731,-22.69608267572046
N01-Ash,β Ari,28.660045789,20.808031472,23,1209743.578824317,-1400-01-24 01:53:30.421,74.3813194814435,-21.940066277851567
N01-Ash,β Ari,28.660045789,20.808031472,24,1209744.5785738195,-1400-01-25 01:53:08.778,74.89217228021627,-21.182155457721628
N01-Ash,β Ari,28.660045789,20.808031472,25,1209745.5780728124,-1400-01-26 01:52:25.491,75.34653114718556,-20.499254617684212
N01-Ash,β Ari,28.660045789,20.808031472,26,1209746.5778223148,-1400-01-27 01:52:03.848,75.84672565404873,-19.737969127608018
N01-Ash,β Ari,28.660045789,20.808031472,27,1209747.577321308,-1400-01-28 01:51:20.561,76.29190156145631,-19.052160298700382
N01-Ash,β Ari,28.660045789,20.808031472,28,1209748.5770708101,-1400-01-29 01:50:58.918,76.7823111421238,-18.287773380111798
N01-Ash,β Ari,28.660045789,20.808031472,29,1209749.5765698033,-1400-01-30 01:50:15.631,77.21906731705509,-17.599293160476442
N01-Ash,β Ari,28.660045789,20.808031472,30,1209750.5760688079,-1400-01-31 01:49:32.345,77.6520945490836,-16.90962281367788
N01-Ash,β Ari,28.660045789,20.808031472,31,1209751.575567801,-1400-02-01 01:48:49.058,78.08154702514177,-16.21881776114307
N01-Ash,β Ari,28.660045789,20.808031472,32,1209752.5750668056,-1400-02-02 01:48:05.772,78.50758475088206,-15.526917955111129
N01-Ash,β Ari,28.660045789,20.808031472,33,1209753.5748162963,-1400-02-03 01:47:44.128,78.97765977975236,-14.756055076400763
N01-Ash,β Ari,28.660045789,20.808031472,34,1209754.574315301,-1400-02-04 01:47:00.842,79.39697980051125,-14.062001371907693
N01-Ash,β Ari,28.660045789,20.808031472,35,1209755.5735637962,-1400-02-05 01:45:55.912,79.76670874982516,-13.445136753603444
N01-Ash,β Ari,28.660045789,20.808031472,36,1209756.5730627894,-1400-02-06 01:45:12.625,80.180583371751,-12.749330957636014
N01-Ash,β Ari,28.660045789,20.808031472,37,1209757.572561794,-1400-02-07 01:44:29.339,80.59178713194986,-12.052655406363737
N01-Ash,β Ari,28.660045789,20.808031472,38,1209758.5720607871,-1400-02-08 01:43:46.052,81.00045836239154,-11.355160677188273
N01-Ash,β Ari,28.660045789,20.808031472,39,1209759.5715597917,-1400-02-09 01:43:02.766,81.40674030178606,-10.65688146706212
N01-Ash,β Ari,28.660045789,20.808031472,40,1209760.570808287,-1400-02-10 01:41:57.836,81.76547817283183,-10.036443366756584
N01-Ash,β Ari,28.660045789,20.808031472,41,1209761.5703072802,-1400-02-11 01:41:14.549,82.16760691160268,-9.336801065531704
N01-Ash,β Ari,28.660045789,20.808031472,42,1209762.5695557755,-1400-02-12 01:40:09.619,82.5228630056764,-8.715208416884272
N01-Ash,β Ari,28.660045789,20.808031472,43,1209763.56905478,-1400-02-13 01:39:26.333,82.92129502087226,-8.01432356855166
N01-Ash,β Ari,28.660045789,20.808031472,44,1209764.5683032754,-1400-02-14 01:38:21.403,83.273464575223,-7.391686023389734
N01-Ash,β Ari,28.660045789,20.808031472,45,1209765.5678022685,-1400-02-15 01:37:38.116,83.66864209382263,-6.689690440750593
N01-Ash,β Ari,28.660045789,20.808031472,46,1209766.5670507639,-1400-02-16 01:36:33.186,84.0181222018719,-6.066119702188615
N01-Ash,β Ari,28.660045789,20.808031472,47,1209767.5662992708,-1400-02-17 01:35:28.257,84.36647710437124,-5.442146134798642
N01-Ash,β Ari,28.660045789,20.808031472,48,1209768.565798264,-1400-02-18 01:34:44.970,84.7576853031221,-4.738744991393391
N01-Ash,β Ari,28.660045789,20.808031472,49,1209769.5650467593,-1400-02-19 01:33:40.040,85.10393108663376,-4.114010589787928
N01-Ash,β Ari,28.660045789,20.808031472,50,1209770.5642952546,-1400-02-20 01:32:35.110,85.44932039279713,-3.488955665055207
N01-Ash,β Ari,28.660045789,20.808031472,51,1209771.56354375,-1400-02-21 01:31:30.180,85.79393781764006,-2.8636044017691575
N01-Ash,β Ari,28.660045789,20.808031472,52,1209772.562792257,-1400-02-22 01:30:25.251,86.13786888241316,-2.2379767089899247
N01-Ash,β Ari,28.660045789,20.808031472,53,1209773.5620407523,-1400-02-23 01:29:20.321,86.4811920457897,-1.6121028683181373
N01-Ash,β Ari,28.660045789,20.808031472,54,1209774.5612892476,-1400-02-24 01:28:15.391,86.82399088686995,-0.9860016267527176
N01-Ash,β Ari,28.660045789,20.808031472,55,1209775.5605377431,-1400-02-25 01:27:10.461,87.16634622456628,-0.35969493100497085
N01-Ash,β Ari,28.660045789,20.808031472,56,1209776.5597862385,-1400-02-26 01:26:05.531,87.50833835415497,0.2667955969997264
N01-Ash,β Ari,28.660045789,20.808031472,57,1209777.5590347338,-1400-02-27 01:25:00.601,87.8500473035362,0.893448497710744
N01-Ash,β Ari,28.660045789,20.808031472,58,1209778.5582832291,-1400-02-28 01:23:55.671,88.19155311609411,1.5202423233187108
